"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Slc6a11",9.00903298900749e-92,1.54731001271104,0.925,0.637,2.90856630050107e-87,"0","Slc6a11"
"Slc17a7",4.66637447105166e-85,-1.71890126826659,0.769,0.921,1.50653899797903e-80,"0","Slc17a7"
"Agt",4.59778285366565e-72,1.29743098327284,0.95,0.708,1.48439419430595e-67,"0","Agt"
"Adcy1",3.17783684757343e-64,-1.85034798139618,0.719,0.888,1.02596462623908e-59,"0","Adcy1"
"Sparc",1.86009524135354e-63,0.767831676231797,0.997,0.985,6.0053174867099e-59,"0","Sparc"
"Resp18",3.20717697351386e-63,1.31385077002213,0.932,0.723,1.03543708589895e-58,"0","Resp18"
"6330403K07Rik",6.5336691994129e-62,1.18069317680034,0.935,0.73,2.10939510103045e-57,"0","6330403K07Rik"
"Mbp",3.50627697965932e-59,0.508877164329669,1,1,1.13200152288301e-54,"0","Mbp"
"Mobp",6.34147769504858e-58,0.562359780923785,1,0.946,2.04734607384643e-53,"0","Mobp"
"Igsf1",4.28534457435321e-54,2.24838348545677,0.455,0.144,1.38352349582993e-49,"0","Igsf1"
"Dgkz",2.83389217590438e-52,-1.4724564521666,0.754,0.879,9.1492208899073e-48,"0","Dgkz"
"Baiap3",4.75547748634899e-52,2.53528716410537,0.382,0.109,1.53530590646777e-47,"0","Baiap3"
"Zcchc12",4.76743344237218e-52,1.73864403734782,0.646,0.325,1.53916588686986e-47,"0","Zcchc12"
"Qdpr",9.07797151693059e-51,0.600264968733739,0.995,0.942,2.93082310424104e-46,"0","Qdpr"
"Zbtb18",6.91046818514664e-49,-1.60743372310024,0.651,0.829,2.23104465357459e-44,"0","Zbtb18"
"Plekhb1",7.96321943312652e-48,0.539771399070326,0.997,0.956,2.5709253939849e-43,"0","Plekhb1"
"Mal",1.74864484266602e-45,0.478783227713657,0.982,0.796,5.64549987454726e-41,"0","Mal"
"Cnp",2.85467156490427e-45,0.419875986388936,0.997,0.944,9.21630714729343e-41,"0","Cnp"
"Nrsn2",4.03832395803247e-45,1.02988067359213,0.859,0.683,1.30377288985078e-40,"0","Nrsn2"
"AW551984",5.14777510728915e-45,2.51140742964665,0.334,0.095,1.6619591933883e-40,"0","AW551984"
"Rpl23",2.66977152235532e-44,0.350594112820577,1,0.999,8.61935735992415e-40,"0","Rpl23"
"Tcf7l2",4.97093627336003e-44,1.59354850047494,0.55,0.245,1.60486677585429e-39,"0","Tcf7l2"
"Sptbn2",8.15146017876509e-44,-1.2058951221794,0.837,0.883,2.63169891871431e-39,"0","Sptbn2"
"Olfm1",1.36364588763329e-43,-1.07722237869876,0.972,0.98,4.40253074822408e-39,"0","Olfm1"
"Bc1",6.57480104490111e-43,0.66479480790397,1,1,2.12267451734632e-38,"0","Bc1"
"Scd2",1.62802158497108e-42,0.348764343963204,1,1,5.25606768707915e-38,"0","Scd2"
"Rpl36",7.06314573807161e-42,0.340566153808425,1,1,2.28033660153642e-37,"0","Rpl36"
"Cldn11",1.59684600251537e-41,0.516727239486486,0.967,0.729,5.15541731912086e-37,"0","Cldn11"
"Bcas1",2.68716175832968e-41,0.601196614115754,0.957,0.736,8.67550173676738e-37,"0","Bcas1"
"Tmem91",7.76228646337659e-41,1.74180823573149,0.48,0.2,2.50605418470113e-36,"0","Tmem91"
"Tuba1b",1.55428728689027e-40,0.426435423297916,1,1,5.01801650572523e-36,"0","Tuba1b"
"Itpka",1.44824266967708e-39,-2.06712105774249,0.291,0.589,4.67565145905245e-35,"0","Itpka"
"Rpl35a",2.97209510731508e-39,0.313434527027863,1,0.999,9.59540905396673e-35,"0","Rpl35a"
"Nap1l5",9.46923057109933e-39,0.758101739336877,0.975,0.969,3.05714108987942e-34,"0","Nap1l5"
"Prr18",1.6970007977992e-38,0.752915791031912,0.774,0.419,5.47876707569473e-34,"0","Prr18"
"Bsn",1.7649260511346e-38,-1.21164778567308,0.603,0.774,5.69806375608804e-34,"0","Bsn"
"Wdr6",2.41645628339591e-38,1.03807782541911,0.829,0.659,7.8015291109437e-34,"0","Wdr6"
"Syt7",5.73899336679608e-38,-1.05822131213927,0.678,0.832,1.85283400847011e-33,"0","Syt7"
"Rpl38",9.99522280458409e-38,0.279587852498303,1,1,3.22695768245997e-33,"0","Rpl38"
"Htr2c",2.32108927975661e-37,1.61354224959761,0.495,0.219,7.49363673969423e-33,"0","Htr2c"
"Rps12",2.48703160476512e-37,0.36934857154604,1,0.997,8.02938153598418e-33,"0","Rps12"
"Mical2",3.89002264893978e-37,-1.60305082857892,0.327,0.64,1.25589381221021e-32,"0","Mical2"
"Nnat",4.10832920524219e-37,0.509859866710075,0.94,0.75,1.32637408391244e-32,"0","Nnat"
"Pcsk1n",4.1083762405592e-37,0.416685723314703,1,0.998,1.32638926926454e-32,"0","Pcsk1n"
"Sparcl1",1.20127618657197e-36,0.409148486779396,1,0.997,3.87832016834761e-32,"0","Sparcl1"
"Rpsa",1.26628220874829e-36,0.321291120389125,1,0.998,4.08819211094385e-32,"0","Rpsa"
"Mog",1.95050794672822e-36,0.260621462648712,0.937,0.648,6.29721490601204e-32,"0","Mog"
"Rnd2",3.84251341259305e-36,0.733407532968413,0.91,0.792,1.24055545525567e-31,"0","Rnd2"
"Scd1",6.47587032100809e-36,0.709694147646573,0.937,0.802,2.09073473313746e-31,"0","Scd1"
"Cbln2",6.94007810653174e-36,2.34190171883385,0.369,0.138,2.24060421669377e-31,"0","Cbln2"
"Rpl26",9.26338343436984e-36,0.306043352882478,1,0.999,2.9906833417863e-31,"0","Rpl26"
